Time (s),Pressure (mmHg)
0.11,14.06
0.22,13.29
0.32,13.24
0.42,13.16
0.53,13.09
0.63,12.77
0.73,12.98
0.83,13.06
0.94,13.30
1.04,13.41
1.14,13.59
1.25,13.54
1.35,13.23
1.45,13.06
1.55,12.84
1.66,12.61
1.76,12.53
1.86,12.62
1.96,12.49
2.07,12.38
2.17,12.29
2.27,12.39
2.38,12.47
2.48,12.53
2.58,12.79
2.68,12.98
2.79,13.24
2.89,13.59
2.99,13.77
3.09,14.06
3.20,14.31
3.30,14.68
3.40,15.05
3.51,15.28
3.61,15.56
3.71,15.97
3.82,16.23
3.92,16.55
4.02,16.71
4.12,16.99
4.23,17.36
4.33,17.77
4.43,18.16
4.53,18.37
4.64,18.66
4.74,19.08
4.84,19.40
4.94,19.71
5.05,20.10
5.15,20.25
5.25,20.69
5.36,20.89
5.46,21.05
5.56,21.16
5.67,21.74
5.77,22.07
5.87,22.17
5.97,22.60
6.08,23.05
6.18,23.51
6.28,23.84
6.38,24.30
6.49,24.52
6.59,25.13
6.69,25.64
6.80,26.01
6.90,26.23
7.00,26.98
7.11,27.47
7.21,27.73
7.31,28.18
7.41,28.74
7.52,29.33
7.62,29.97
7.72,30.48
7.83,31.07
7.93,31.50
8.03,32.11
8.13,32.65
8.24,33.20
8.34,33.82
8.44,34.46
8.55,35.39
8.65,35.94
8.75,36.55
8.86,37.20
8.96,37.83
9.06,38.57
9.17,39.07
9.27,39.80
9.37,40.52
9.48,41.50
9.58,42.20
9.68,42.75
9.78,43.61
9.89,44.26
9.99,44.99
10.09,45.80
10.20,46.54
10.30,47.34
10.40,48.40
10.51,49.15
10.61,49.86
10.71,50.60
10.81,51.43
10.92,52.10
11.02,53.08
11.12,53.78
11.23,54.59
11.33,56.03
11.43,56.73
11.54,57.52
11.64,58.42
11.74,59.33
11.84,60.02
11.95,60.90
12.05,61.65
12.15,62.40
12.26,64.29
12.36,65.15
12.46,65.80
12.56,66.65
12.67,67.67
12.77,68.60
12.87,69.24
12.98,70.02
13.08,71.32
13.18,73.08
13.28,73.85
13.39,74.49
13.49,75.48
13.59,76.51
13.70,77.10
13.80,77.83
13.90,78.50
14.01,80.19
14.11,82.58
14.21,83.12
14.32,83.62
14.42,84.42
14.52,85.22
14.63,85.76
14.73,86.36
14.83,87.41
14.93,88.95
15.04,91.68
15.14,92.53
15.24,92.48
15.35,93.25
15.45,94.02
15.55,94.96
15.65,95.90
15.76,96.82
15.86,97.96
15.96,99.90
16.07,102.12
16.17,102.87
16.27,102.74
16.37,103.42
16.48,104.48
16.58,105.62
16.68,106.52
16.79,107.48
16.89,109.37
16.99,110.97
17.10,111.56
17.20,112.18
17.30,113.01
17.41,113.99
17.51,114.97
17.61,115.97
17.72,116.99
17.82,118.36
17.92,119.98
18.02,120.31
18.13,121.11
18.23,121.96
18.33,122.99
18.43,123.96
18.54,124.83
18.64,125.80
18.74,126.94
18.85,128.87
18.95,129.17
19.05,130.04
19.16,131.21
19.26,132.08
19.36,132.85
19.47,132.57
19.57,131.64
19.67,130.67
